Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
4529899353788455,Wagner Guadagnin Moravia,"Avaliação integrada de processos construtivos de tecnologias de tratamento de efluentes., Tratamento de efluentes sanitários e industriais por processos biológicos e físico-químicos: filtro anaeróbio e lagoa de estabilização / coagulação-floculação, processo oxidativo avançado, adsorção em carvão ativado, processos de separação por membranas.",0,0,0,"Tratamento de Águas de Abastecimento e Residuárias, Saneamento Básico, Saneamento Ambiental"
4573993137341865,Wanilde Mary Ferrari Auarek,"Ergonomia, Ergologia, Didática profissional e Educação, Educação e qualificação profissional, Política, trabalho e formação humana",0,0,0,"EDUCAÇÃO PROFISSIONAL E PROFISSIONALIZAÇÃO, FORMAÇÃO E APRENDIZAGEM EM ATIVIDADE DE TRABALHO, ATIVIDADE DO PROFESSOR E DO ALUNO, ERGONOMIA DA ATIVIDADE, ERGOLOGIA, DIDÁTICA PROFISSIONAL"
4582617053265743,André Luiz Paganotti,,0,0,0,"Circuitos Elétricos, Magnéticos e Eletrônicos, Matemática Aplicada, Sistemas Elétricos de Potência, Sistemas Elétricos de Potência"
4603063288416962,Eudes Weber Porto,,0,0,0,"Sistemas Elétricos de Potência, Controle e Automação, Circuitos Elétricos, Magnéticos e Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Controle e Automação, Sistemas de Computação, Sistemas Elétricos de Potência, Controle e Automação, Circuitos Elétricos, Magnéticos e Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Controle e Automação, Sistemas de Computação"
4641531678975028,Odilon Corrêa da Silva,,0,0,0,"Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação"
4648134657880912,Moisés Augusto Gonçalves,,0,0,0,", , Outras Sociologias Específicas"
4651992878245712,Ricardo Ferraz Moraes,,0,0,0,"Automação Hidráulica e Pneumática, programação, MODELAMENTO DE PROPRIEDADES MECÂNICAS DOS MATERIAIS, MATERIAIS COMPÓSITOS, Qualidade e Produtividade, Projetos Mecânicos"
4669197806191249,Luciano dos Santos Diniz,,0,0,0,
4682930954371672,Bruno Senna Corrêa,Educação,0,0,0,", Ecologia de Ecossistemas, Ecologia Aplicada, Zoologia Aplicada, Conservação da Natureza, Conservação da Natureza"
4685705596339109,Adelson de Paula Silva,"Redes de Computadores, Infraestrutura de Redes e Conectividade, Educação à Distância (EaD), Sistemas de Cabeamento Estruturado, Processo de Leitura de entorno no ambiente dos Parques Científicos Tecnológicos, Projeto de Pesquisa Currículo Referência",0,0,0,", Tecnologia da Informação, Networking Cabling, Networking, Networking, Sistemas de Computação"
